target;sen
Negative;@özcanfeyza : fahiþelik namussuz bir iþ deðil , hiçbir kadýn arzu ve isteðiyle fahiþe olmaz mecburiyetten yapar . para için þerefini satan namussuzdur !
Negative;@arkiner03 : #çocukistismarýnýnaffiolamaz sözde müslümaným diye ortalýkta gezinip baþý açýk kadýnlara fahiþe diyen itler sürüsü þimdi nerede ?
Negative;@goergeboston : biri bezenenini satmak zorunda kalýyor , biri onursuz olduðu için ruhunu . . güzel kýyaslama olmamýþ bence fahiþe yerine mantýk evliliði yapanlar daha uygun bir kýyaslama olurdu . . iðrençlikli derecesi açýsýndan
Positive;@ulangöktürk : kokuþmuþ ruhun bir fahiþe gibi .
Negative;@glenayyldz : maaþlý trollük tabii . trol ve Hurþit olacaðýna fahiþe öl daha iyi .
Neutral;@tgykls : fahiþe gibi görün filozof gibi düþün aklýný yere düþür böylesi daha iyi .
Negative;@ecekiçoðlu : aþaðýdaki sorunun cevabýný bile bilmeyen lakin lafa gelince entel dantel ilerici takýlan laðým faresi fahiþe zihniyet kemalinler hükümeti eleþtiriyor . 80 sene önceki türkiyenin peþinde koþan çapsýz sürüngenler soyunmak fahiþelik etmek ilericilik deðil .
Negative;@gemiix1 : fahiþelik yeter ki ruhun fahiþe olmasýn beden önenli deðil .
Negative;@bülentkazancý : küpe feminen , tesbih erk demek öyle mi ? ! ? ! ? bilemedim inanýn . . küpe de takýyorum tesbih de taþýyorum . . isteyen nonoþ desin , isteyen delikanlý . . diyenin ruhu fahiþe olmasýn yeter ki . . yoksa fenasý ... ? ?
Negative;@can09316248 : bir þey diyorum evet ananýn amýna sokayým orospu fahiþe seni .
Negative;@özgürdevelioðlu : bu soru üniversite sýnavýnda çýksa ertesi gün hatalý soru diye iptal olurdu . kýyaslanamaz , fahiþe kimseye kötülük yapmýyor .
Negative;@gaye1kn : fahiþe gibi görün filozof gibi düþün aklýný yere düþür böylesi daha iyi .
Positive;@þemusyeke : fahiþe aldýðý ücretin bedelini en aðýr þekilde ödüyor hem ruhu hem bedeni hem de toplum içinde itibarsýzlaþtýrýlarak oysa diðerleri onlar ruhunu þeytana satýyor yani bir nevi iblislik = trollük .
Negative;@fethiyezmen2 : maaþlý troll daha ahlaksýz , fahiþe bari kendini satýyor , trol baþkasýna çalýþýyor .
Negative;@filiz13696779 : kucak kucak fahiþe esef verici hamletmesene .
Negative;@kardelen93_ : kediye su veren fahiþe kadýný cennetine koyan rabbim , devlet hazinesinden 1 tanecik hýrka çalaný cehenneme koyuyor !
Negative;@gzdniz : niye her fahiþe trollluk yapsýn . fahiþe isteyerek mi o iþi yapýyor sanýyorsun .
Neutral;@brk_msf : fahiþe gibi görün , filozof gibi düþün .
Negative;@özgüratabek : her fahiþe paralý trollük de yapar ama her paralý trol fahiþelik yapmaz . veya empati yap nedenini anlarsýn ... uzaktan davulun sesi kulaða hoþ gelir .
Negative;@rasyonel_yorum : fahiþe sadece bedenini satýyor troller ise her þeylerini .
Neutral;@baðfaik : bem hiç vatan haini bir fahiþe görmedim .
Negative;@hasansandal1 : fahiþe geçinebilmek için bedenini , trol ise vatanýný þerefini namusunu haysiyetini satýyor . kýyaslanamaz bile .
Negative;@beradental : bunlar doðrudan doðruya fahiþelik ve hertürlü ahlaksýzlýðý yapmak için çok çaba sarf ediyorlar çünki sahipleri olanlar yani siyonistler böyle istiyor .
Negative;@balýta18671538 : ikisinin de yapmayýnca , cevap veremedim , ancak fahiþe ancak bedenini satýyor , paralý troller kiþiliðini satýyor , sizce hangisi erdemli .
Negative;@dzdr34 : fahiþe aldatmaz hak yemez dümdüz apaçýk bir ekmeðini kazanma yoludur . açýklýdýr ama dürüsttür en azýndan . fahiþenin birlikte olduðu da onunla ayný seçimi paylaþýr ama onlara kimse dokunmaz . beden ve zevk üzerinden yapýlan alýþveriþin 2 tarafýdýrlar . trol tam bir dolandýrýcýdýr .
Negative;@kaptan_tamer10 : herkesin nenesini kendi anan kendi nenen gibi fahiþe sanma aq putperesti sana . m kemal yokken biz 1000 yýldýr bu topraklardaydýk . kendi ananý kimin altýnda gördüyseniz artýk bir kurtulamadýnýz þu saçmalýklardan aq . kýlýç artýðý putperest sen ? ?
Positive;@bellýsaadettin : vallahi fahiþe bunlardan merttir .
Negative;@yldznuray1 : kendisine troller herkese zararlý .
Negative;@gökgz : aydýn bey sanýyorum hülya hanýmýn savunduðunu fahiþelik deðil fahiþeler haksýz yere ( zaten suistimal etmeye çömsene müsait bir toplumda yaþýyoruz ) çok korkunç muamelelere maruz kalýyorlar , tecavüze uðramalarý bile kabul edilmiyor , zaten fahiþe deniyor .
Negative;@mezi_tha : siyasal islamcýsýnýz demedim size . fahiþeliði böyle yorumladýðým için bir aklý evvel fahiþelik damgasý vurmaya çalýþtý , korkmayýn ben de fahiþe deðilim . kendi halinde bir boyacýyým . .
Negative;@tahabusetspnr : 0-12 yaþ affedilemez 12-15 ve 15-18 yaþ ile 3 e bölünür tck 103 maddesi . ergen fahiþe ruhlu küçük kadýnlar önüne gelenle iliþkiye girip ailesi öðrenince saf salaklarýn üstüne atýp fahiþeliðe devam eden kýz çok ülkemizde . adaletli olun tek taraflý olmayýn sýðýrlar .
Negative;@olimbera81 : insanýn bedenini nasýl kullanacaðý kendi þahsi fikridir ruhu fahiþe olandan korkarým .
Negative;@ümitkireççi : gönüllü fahiþe olunmuyor ama sanýrým diðerinde bu tersi ...
Negative;@kemalonbaþ : trollün yanýnda fahiþe melek gibi geldi bana . ? ?
Negative;@zinhar9 : fahiþe bedenini trol ruhunu satar , trol daha namussuz .
Negative;@kacetlnk : fahiþeliðin de bazý sýnýrlarý vardýr , parayý verirsin ama her istediðini yapamazsýn paraya raðmen kurallarý .
Negative;@whiteberlin36 : fahiþelik bedenin deðil ruhunun fahiþe olmasýdýr .
Negative;"@izgiiþmail : e peki "" fahiþelik "" nedir ? nasýl anlatýlmýþ kur'an ' da ?"
Negative;@talipgll2 : fahiþe yokluktan yapar trol daha çok gelir için .
Negative;@ahsisedelalh : fahiþe seks iþçisi demek zaten . parasýný alýyor iþini yapýyor . troll çok tehlikeli . yalan atma , itibarsýzlaþtýrma , toplumda hedef haline getirme , günahsýza suç isnat etme . her þey var trolle .
Negative;"@özzrrr : fahiþe , karnýný doyurmak için bedenini satýyor . ama troll ; insan olmaya dair ihtiyaç olan onuru , þerefi , haysiyeti , karakteri , ruhunu satýyor . . ! trollük , bu kiþinin kendine yapabileceði en büyük kötülüktür . . !"
Neutral;@irfirfirfirf : bedenini 100 dolara satana fahiþe beynini namusunu kalemini 100 bin dolara satana trol diyorlar .
Negative;@mfuatkarataþ : ikisinde ama maaþlý trollük daha aðýr basar , fahiþe vücudunu veriyor , zararý belki de kendisine , öbürünün zararý baþkasýna belki de herkese zehir kusuyor . ! ! ! ! ! !
Negative;@berfinkumlu1 : dmden yazýn ibne nasýl alýyor naklen izleteyim size kocasý konuþuyor þu an .
Negative;"@taþçýþaip_taþçý : "" imam "" kelimesini kullanmazsak artýk ! ! nebileyim puþt deyin , ibne deyin , dümbük deyin , pezevenk deyin ."
Negative;@saim_akbulut : be þerefsiz ibne fenerle oynadýðýmýz en az beþ maçýmýzý katletti ve buna düdüðü aþtýrtamadýk .
Negative;@babekhurremi : o ibne sizin gibilere etek giydirir . karýsýný öldürtmekten yatýyordu pezevenk .
Negative;@dmts_65 : sende fakesin mal . koskoca devlet varken bu mafya bozuntusu ibne ye mi bel baðladýn amk gerzeði .
Negative;@sonsuzstres : yani solculuk ibne ibne hareketler yapýp içki içmekse solculuk olur izmirde .
Negative;@activationfunç : zamanýna göre modern bir isim olduðunu inkar etmemekle beraber havadan naþî ibne kýlýklý gezici ismi ya ?
Neutral;@erdurkoese : fan o bir anne tamam ama oðul olayý vicdanla anlatýlmaz . o akit denen paçavranýn her çalýþaný idamla yargýlanmalý . orduya ergenekon ve casusluk iddialarý varken subaylarýmýzýn arkadan çekilmiþ fotoðraflarýyla ibne muamelesi yapan , her an her zaman atatürke iftira atanlar gebersinler .
Negative;@ademdolapçýadem : namussuz itin oðlu senin orospu kýzýn niye yurt dýþýnda ibne top.
Neutral;@ercümentbostann : bana iki kiþiyi yoldan çýkarýr ispiyoncu orduyu daðýtýr #alaattýncakici .
Negative;@klostorofobik : ya tam boþ beleþ cahil beþ para etmez adamsýn . yasayý okumamýsssin , onun bunun çocuklarýnýn gazýna gelmiþ burda atýp tutuyorsunuz . o 30 yaþ olayý yok zaten srnin beynin olsa zaten ibne olmazdýn hastalýklý mahluk .
Negative;@dmrrmznn : solcu bölücü ibne pezevenk takýmýnýn anasýný sýktýðý için bu kudurmuþluðunuz ...
Positive;@angarabbsii : aynen kardeþ böylesi güzel bir doða harikasýný bira þiþeleriyle pisleten sözüm ona laikliði alkolde arayan güruhu o þiþelere oturtacaksýn ki aydýnlanma yaþasýnlar zaten velev ki ibne ya çoðu özgürlükçü ufku geniþler arkadaþlarýn .
Negative;@berkohunchoz : ibne ölecek gibiyiz bu gidiþle .
Negative;@kaanblr81 : bak bak ibnelerin muhabbetine bak 2 ibne iþte birde türkiyeyi beðenmezler sizin gibi lut kavmimden kalma ibneler .
Negative;@haluk77 : bravo melis , bir sürü futbol bilmeyen erkeðe ders verdin , lýverpoolu komple kloppla getir bu ibne federasyon hakemler , hükümet varken þampiyon olamaz .
Positive;@seherseviim : erkek diye yazýlýr ibne diye okunur .
Negative;@siovakya : hocam yanlýþ anlama bilmediðimden soruyorum . bunlar ibne midir .
Neutral;@glockarte : ben diyorum ibne diye inanmýyorsunuz aq .
Neutral;@hrunozpskn : aaa nereden bildin ibne ? ? ? ?
Positive;@berk_dostlar : bu ibne iyice kendini deli gibi yaptý .
Negative;@denizyaalý : sen az ibne deðilsin , herþeyden kendi menfaatine bir pay çýkarýyorsun , sen ý * ben sana duygu sömürüsüne de bak . ? ?
Negative;@siensyücel : anandýr kaypak . yavþak oðlu yavþak . anan seni gibi ibne kýlýklýlarý doðuracaðýna Hella'ya sýçsaymýþ memle .
Negative;@jsawpaçman : ibnelik ispiyondan daha þereflidir , ibne iki tane adamý yoldan çýkarýr ispiyon ordu daðýtýr ...
Negative;@apoelçhavo : çok pis düþtüm , hiç sürünülmedim sürüngen olan ibne üzülsün .
Negative;@cemarskas : bir ibne evladý yarasa yedi diye baþka bir ibne evladý da yangýna su püskürdürmedi diye canýmýz götümüzde yaþýyoruz be abi .
Negative;@canh2ö_ : biz biraz ibne seviyoruz kana ondan hdfdhsfhf .
Negative;@teg020499 : haklýsýn bende a spor ve a haber ý izlemiyorum ordada bir sürü ibne var .
Negative;@costigan262 : kdkdkdkfkfk sana ibne demek içimden gelmiyor kanka .
Negative;@ak_genç_34 : kes lan seni sikerim nikahýma girmek zorunda kalýrsýn ibne !
Positive;@elitizm : sevgilinin ailesinin amýna koyayým sevgilinin de götünü siksin geçen itiraf atan ibne arkadaþ .
Negative;@sametiç88 : aaah zamanýnda mehmet'e karþý erkan'ý savunduðumda az linç yememiþtim . . ibne erkandan iyi olduðu falan da yoktu sahada top oynamazdý frikik ve kornerlerle göz doldururdu ama balon patladý nihayet .
Negative;@tüzeyk : beni ibne mi yapmak istiyorsun be adam .
Negative;@pikinepançöz : klavyede kelimeleri tutturamýyorsun kimseyi sikemezsin bu kafayla ibne .
Negative;@saybildak : dedim hocam kötü dediðiniz kýz bana geldi böyle böyle þeyler söyledi sonra anlatmaya baþladý cart curt neyse tabi dersini aldýðým için sövemedim adama üni ortamý da böyle bok hocalar kraliyet ailesi sanki , daha sonra öðrendim ki ibne kýzdan hoþlanýyormuþ ahahaha .
Negative;@hasanulubatl10 : demek ki bende her yaptýðýný vatandaþla paylaþýyor lan siktir git ibne .
Neutral;@yctsyasýn : noldu zoruna mý gitti ibne .
Negative;@hasanulubatl10 : papaza sorsaydýk gerçi onlarýnda hepsi ibne malum çocukken sýradan geçirdiler manastýr gunluðum kitabýnda yazýyor .
Negative;@kaqqamýkey : harbi amk aramýzda bir ibne olmasý lazým .
Negative;"@duymadýkkýzým : berlin ne dedi orada "" böyle hissetmeyi çok isterdim ama bu imkansýz "" ibne olan Palermo ."
Neutral;@aktaslemre : lan a . kodumun gerizekalýsý önce yazdýðýmý iyi oku g . veren senin de öyle bir düþüncelerin var ki zoruna gitti heralde ibne . inþ sizin gibi ibnelere çýkmaz .
Negative;"@tcaakarsu : türk milletini çok iyi analiz etmiþ neyzen tevfik ; türk milleti gariptir her lafý kaldýrmaz , ibne dersin kýzar da s. kersin aldýrmaz ."
Positive;@mavinebil : bakýn bu ibne þerefsize iyi bakýn .
Negative;@kayserili_akýn : anandýr kaypak . yavþak oðlu yavþak . anan seni gibi ibne kýlýklýlarý doðuracaðýna Hella'ya sýçsaymýþ memleket için daha hayýrlý olurmuþ . karý kýlýklý yalaka .
Negative;@salihyldrm201 : biri görür de aðzýmý burnumu kýrar diye daðýn baþýnda çekmiþ videoyu ibne .
Negative;@cryeans : o an ki ortaokulda ibne olduðun için öðretmenler odasýna çaðrýlmýþsýndýr .
Negative;@ülasyurduðul : size hep en yakýn arkadaþým , caným benim , sen olmasan ne yaparým ben diyen biri varsa inanmayýn amk mesaj atýyorum wp ye girip çýkýyor girip çýkýyor 5 saat geçiyor ana avrat küfür ediyorum efendim diyor . ulan ibne mesajlara bakmayacaksan o uygulama niye telefonunda .
Neutral;@duymadýkkýzým : berlin adamdýr ibne olan baþkalarý .
Negative;@arühhastasý : sahibinden de ne kadar ibne þerefsiz varsa hepsi beni buldu çivridiricam .
Negative;@fatiharaþ93 : momo geçen acil gel dedin bir yere gideceðiz sen vinçle evden çýkardýk ve onu da geçtim geçen bir grup ibne gördüm önlerinde bayrak sallýyordun .
Negative;@xxxx28945897 : ulan ibne beðeni için meleklere askerlik arkadaþýnmýþ gibi hitap etmeyin .
Negative;@ayfaylmz : þimdi bu pis beyinli adamlara ibne , kafalar , laðým rögarý canlýsý demek yetmiyor , baþka ne denebilir bilen var mý ?
Negative;@umutbyr_ : beþiktaþ > ingiliz köpeði ibne arabistan .
Negative;@ibne_i_muazzama : #bumamabenden türkiye'ye yayýlmaya devam ediyor . sokak hayvanlarýnýn mama kabýný doldurmak için bir tweet atmanýz yeterli !
Negative;@pasifbne3 : öyle maalesef gizli ibne çok piyasada sen de her domalaný siktin mi ? ? ? ?
Neutral;@serhatkrhn : kara listem ego yapan ibne dolu .
Neutral;@elbershn : sen kimsin bana cevap veriyorsun lan ibne
Negative;@serdartunaylma1 : dün akp maaþlý trolleri bugün Dehap'a maaþlý trolleri heralde yarýn pkk maaþlý ibne puþt göverenleri tabi arada canlý yayýnda osuranlar filan .
Negative;@karadaðlar1903 : tabii kan çekiyor oda sizin gibi ibne :) ) )
Positive;@frkannf : valla tanýmadýðým erkekler yüzünden her gün çeþit çeþit kýz bütün erkeklere beddua okuyor ibne dediðime þükür et .
Negative;@buolurbence : bu ibne de her þeye destek veriyor ama hiçbiri olmuyor . kusura bakma putin abi biz böyle görmedik .
Negative;@muhammedbatuh20 : þu karý gibi ibne gibi giyinip anasý gibi toka takýp küpe takan oðlancaðýzlar evden çýkarken ananýzýn eteðini giyip çýkýn a . k ibneleri . .
Negative;@lalakbra2 : iþte sana eþcinselleri kelimesini görüp beðenini geri çektiðin için yazmýþ . o insanlarý dýþlayýp onlara yapýlan zulme karþý dur demek yerine ibne diye hakaret edebildiðiniz için . insan olup herkesi kucaklayabilelim diye .
Negative;@umutg41 : lan o çöp poþetlere sizin daðcý ibne evlatlarýnýn leþlerini köyyolar sen burda artistlik çek .
Negative;@barýþçýksu : þu dünyaya bir rapçi olarak gelecek olsam o kadar adam içinden ibne norm denk gelirdi o kadar þanssýzým amk .
Negative;@baran_utku : ya þunu paylaþýp gribe sokmayýn þu aq þalaðýný amel ibne .
Negative;@reb_earl : karabükte dersaneye giden kýzýmýza , açýk cezaevinden izinli çýkýp firar eden bir sapýk tecavüz etti .
Negative;@halilbr12694450 : #çocukistismarýnýnaffiolamaz sapýk ve katillerin teröristlerin vatan hainlerinin bu kapsam dýþýnda tutulacaðýný düþünüyorum .
Negative;@volkansa8 : abla 15 yaþýndaki kýzlarýnýzla disco ve barlarda seviþen beyefendileri de sapýk diye nitelendirseniz de kýzlarýnýzý yollamasanýz keþke .
Negative;@mibik : 8 yaþýndaki eylüle tecavüz edip öldüren sapýk , daha önce de sokak köpeðine tecavüz edip , telle boðarak öldürmüþtü .
Negative;@rabiiiataþ : 1938 de atatürk 14 yaþýnda kýzlarýn evlenmesine izin veren kanunu çýkarmýþ .
Positive;@bestialeuomo : nesi sapýk gibi ? adam baya baya seviyor kýzý bakýþlarýndan bile belli . sýrf nisa üzgün diye modu düþen biri sercan . nasýl sapýk diyebiliyorsunuz asla anlayamýyorum .
Negative;@piremseslique : bu turkcellin 532 numarasýný kesinlikle bir sapýk kullanýyor buna sigorta yemek vermiþler görevi de sadece insanlarý sürekli ara , gece ya da gündüz fark etmez kapatýrsa bile son ara boþver .
Neutral;@rköylüm : aman dikkat ne kadar , sapýk , tecavüzcü , uyuþturucu satan mafya bozuntusu varsa hepsi artýk aramýzda .
Negative;@benimadýmalara : 2020 yýlýndayýz hala haklarýmýzý savunmak zorunda kalýyoruz etrafta onca taciz , tecavüz , pedofili türevleri hasta ve sapýk .
Negative;@giizzzyy : 13 yaþýndaki çocuk ile zorla iliþkiye girenden koca olmaz , sapýk olur . allah belanýzý versin .
Positive;@eyt_adem_rüstem : þimdi hilale anlatýr gibi anlatýyorum ak troller iyi dinleyin . . yarýn birgün çocuðunuz , kardeþiniz veya yeðeniniz bir .
Negative;@ahskaoakak : 2020 yýlýndayýz hala haklarýmýzý savunmak zorunda kalýyoruz etrafta onca taciz , tecavüz , pedofili türevleri hasta ve sapýk zihin .
Negative;@ceydað_ : bunlar düzgün konuþmayla anlamaz analarýna söveceksin sapýk zihniyet . lafa gelince müslümanlar allah peygamber aðýzlarýndan düþmez ama savunduklarý þeye bak ?
Negative;@gamzebeen : nisanýn çocukça tavrý için sercana laf atýp üstüne adamý sapýk ilan ettiniz . o kadar iðrenç bir zihniyete sahipsiniz ki o kadar kör olmak görmek istemiyorsunuz ki ama nisa için o oyun alanýnda üzülen tek kiþiydi sercan . bu kadar da olmaz ya . . #survivor2020 #sercanyýldýrým .
Negative;@adamýnb66516365 : semra kardeþ biz çocuklarýmýzý koruyoruz amacýmýz onlarýn çocuklarýný da korumak ama bu sapýk zihinlere sahip olan akp seçmeni vekili hepsi çocuklarýný birilerinin koyunlarýna atmaktan kuran kurslarýnda tarikatlarda karanlýk odalarda tecavüz edilmelerine allahýn takdiri kader derler .
Negative;@kartanesi07071 : nasýl sapýk zihniyetiniz var bilmiyorum nasýl vicdanýnýz var bilmiyorum hepinizin çocuklarý var inþallah o içeriden çýkanlarla toplu olarak karþý karþýya gelirsiniz #çocukistismarýnýnaffiolamaz .
Negative;@osmnaktaþ : insanlarý sapýk zannediyorsunuz . zira aile olmak nedir bildiðiniz için aklýnýza ilk sapýkça þeyler gelir zihninizde müþevveþ þeyler canlanýyor . sende zihniyetinde anlyisiniz da pik zira her önünüze gelenin altýna yatmak doðru ama aile olmak yanlýþ . sizin anlayýþýnýz bu kadar .
Negative;@havabozuk : ben hiçbir meslekte iþini yapan insanlarýn , vazifesini yaptýðý için büyük bir marifetmiþ gibi görüntü verdiðini hatýrlamýyorum . 28 bin tl alýyorsunuz bir zahmet iþinizi düzgün yapýn . hýrsýz , sapýk , uyuþturucu tacirlerini ve dolandýrýcýlarý sokaða salýyorsunuz bunun sevinci mi bu .
Negative;@pacino82 : 13 yaþýnda kendi rýzasýyla nikaha girmek falan istemez çocuk . tecavüzcüsüyle evlendirilir . ayrýca benim çevremde 13 yaþýnda iliþki yaþayan bir kýz hayatýmda duymadým görmedim 37 senedir . 15-16 yarýnda yaþayanlar da sapýk imamlarla deðil yaþýtlarýyla flört edip , flört diyorum tecavüz deðil .
